id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado,motivo_rechazo
1,,184,42,15,2,829.53,,139253.11,fecha_invalida
2,2026-02-16,2408,35,11,12,,12.22,,"prima_invalida,monto_invalido"
3,,540,42,4,9,1611.53,92.05,,"fecha_invalida,monto_invalido"
4,,2821,40,10,5,1866.62,456.99,244461.27,fecha_invalida
5,,945,23,9,11,,324.08,123407.75,"fecha_invalida,prima_invalida"
6,,1295,17,1,1,943.49,,71968.43,fecha_invalida
7,,1254,25,11,4,1400.82,188.4,258202.93,fecha_invalida
8,,887,77,3,8,1670.56,258.75,,"fecha_invalida,monto_invalido"
9,,1670,66,8,12,,131.85,125804.84,"fecha_invalida,prima_invalida"
11,,2590,25,8,4,,,,"fecha_invalida,prima_invalida,monto_invalido"
12,,1521,14,11,5,726.02,,86216.65,fecha_invalida
13,,1527,9,14,9,708.37,105.04,,"fecha_invalida,monto_invalido"
14,,367,65,1,11,0.0,122.12,249504.31,fecha_invalida
15,,1954,62,13,4,85.94,,,"fecha_invalida,monto_invalido"
16,,424,19,5,11,,39.07,,"fecha_invalida,prima_invalida,monto_invalido"
17,,856,73,14,8,832.85,,94675.98,fecha_invalida
18,,123,75,2,5,,39.57,,"fecha_invalida,prima_invalida,monto_invalido"
19,,1693,50,3,9,1257.43,237.2,106454.95,fecha_invalida
20,,522,32,1,3,487.69,117.43,,"fecha_invalida,monto_invalido"
21,,179,34,2,9,,,,"fecha_invalida,prima_invalida,monto_invalido"
22,,2160,71,5,5,,172.42,,"fecha_invalida,prima_invalida,monto_invalido"
23,,61,19,3,5,,112.05,163649.61,"fecha_invalida,prima_invalida"
24,,302,15,15,9,,8.98,15865.44,"fecha_invalida,prima_invalida"
25,,101,34,8,2,,286.75,269942.16,"fecha_invalida,prima_invalida"
27,,352,30,3,6,-1290.55,179.37,162227.75,fecha_invalida
28,,1213,65,8,9,464.73,25.26,18041.73,fecha_invalida
29,,1101,7,8,12,,54.06,,"fecha_invalida,prima_invalida,monto_invalido"
30,,2493,14,12,4,816.71,199.22,,"fecha_invalida,monto_invalido"
31,2025-08-07,1847,45,4,2,,229.13,,"prima_invalida,monto_invalido"
32,2025-07-28,388,22,6,4,822.52,,,monto_invalido
33,,1034,67,2,8,73.63,13.25,,"fecha_invalida,monto_invalido"
34,,1969,41,10,5,,256.53,202107.44,"fecha_invalida,prima_invalida"
35,,1139,79,1,3,,191.44,,"fecha_invalida,prima_invalida,monto_invalido"
36,,2313,53,12,6,779.35,64.18,,"fecha_invalida,monto_invalido"
37,,2846,75,10,3,800.22,104.7,66127.82,fecha_invalida
38,,2327,39,13,7,,113.68,,"fecha_invalida,prima_invalida,monto_invalido"
39,,629,62,11,7,,206.36,75584.63,"fecha_invalida,prima_invalida"
40,,25,47,6,9,1300.11,189.22,,"fecha_invalida,monto_invalido"
41,,3651,48,13,5,816.63,106.27,136809.9,fecha_invalida
42,,2455,31,5,11,308.02,58.25,,"fecha_invalida,monto_invalido"
43,,2657,8,6,1,-1261.22,106.86,248818.74,fecha_invalida
44,,1701,10,14,10,946.36,153.66,153121.65,fecha_invalida
45,2025-12-11,2278,66,3,11,1539.37,240.41,,monto_invalido
46,,2761,28,2,1,564.21,57.82,23965.61,fecha_invalida
47,,2482,18,3,2,,242.77,69252.65,"fecha_invalida,prima_invalida"
48,2025-07-16,259,29,14,1,,46.88,55688.51,prima_invalida
50,2025-02-22,717,49,15,10,518.78,86.45,,monto_invalido
51,,2801,67,5,4,,321.59,,"fecha_invalida,prima_invalida,monto_invalido"
52,,1746,33,1,10,1429.69,78.5,173202.87,fecha_invalida
