id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado,motivo_rechazo
2,2465,,,Abierto,"fecha_invalida,monto_invalido"
4,14299,,274.63,Abierto,fecha_invalida
5,12908,,,Rechazado,"fecha_invalida,monto_invalido"
6,5107,,,nan,"fecha_invalida,monto_invalido"
7,3379,,,Abierto,"fecha_invalida,monto_invalido"
9,18118,,,cerrado,"fecha_invalida,monto_invalido"
10,19947,,8801.03,Cerrado,fecha_invalida
11,6448,,,Abierto,"fecha_invalida,monto_invalido"
12,4096,,,Rechazado,"fecha_invalida,monto_invalido"
14,8260,,,nan,"fecha_invalida,monto_invalido"
15,19142,,14533.77,Abierto,fecha_invalida
16,16312,,,ABIERTO,"fecha_invalida,monto_invalido"
17,2112,,,cerrado,"fecha_invalida,monto_invalido"
18,4445,,,nan,"fecha_invalida,monto_invalido"
19,5547,,5714.06,cerrado,fecha_invalida
20,21508,,8867.02,nan,fecha_invalida
21,8637,,,Abierto,"fecha_invalida,monto_invalido"
22,6924,,10436.86,Cerrado,fecha_invalida
23,5261,,6636.22,Abierto,fecha_invalida
25,719,,3257.92,nan,fecha_invalida
26,7930,,1326.94,Abierto,fecha_invalida
28,3123,,,Cerrado,"fecha_invalida,monto_invalido"
29,18397,,1485.06,ABIERTO,fecha_invalida
30,20396,,,nan,"fecha_invalida,monto_invalido"
31,14500,,,Cerrado,"fecha_invalida,monto_invalido"
32,20349,,,nan,"fecha_invalida,monto_invalido"
34,14393,,,Cerrado,"fecha_invalida,monto_invalido"
35,15273,,,cerrado,"fecha_invalida,monto_invalido"
37,504,,,Rechazado,"fecha_invalida,monto_invalido"
38,1202,,,Cerrado,"fecha_invalida,monto_invalido"
39,551,,,Abierto,"fecha_invalida,monto_invalido"
40,8220,,,cerrado,"fecha_invalida,monto_invalido"
41,4657,,,nan,"fecha_invalida,monto_invalido"
42,3586,,,nan,"fecha_invalida,monto_invalido"
43,11680,,10535.93,cerrado,fecha_invalida
44,17906,,,ABIERTO,"fecha_invalida,monto_invalido"
46,2860,,,Rechazado,"fecha_invalida,monto_invalido"
47,6904,,7795.35,ABIERTO,fecha_invalida
48,503,,,Rechazado,"fecha_invalida,monto_invalido"
49,12852,,4828.13,nan,fecha_invalida
50,25778,,11437.5,nan,fecha_invalida
51,1344,,,nan,"fecha_invalida,monto_invalido"
52,22187,,,Cerrado,"fecha_invalida,monto_invalido"
53,11106,,2182.44,Cerrado,fecha_invalida
54,14544,,,cerrado,"fecha_invalida,monto_invalido"
55,19232,,,nan,"fecha_invalida,monto_invalido"
56,14610,,,Abierto,"fecha_invalida,monto_invalido"
57,11757,,,Cerrado,"fecha_invalida,monto_invalido"
58,9803,,,nan,"fecha_invalida,monto_invalido"
59,4806,,,Cerrado,"fecha_invalida,monto_invalido"
60,15711,,2916.65,Cerrado,fecha_invalida
61,16070,,,nan,"fecha_invalida,monto_invalido"
62,14407,,,cerrado,"fecha_invalida,monto_invalido"
63,22281,,,nan,"fecha_invalida,monto_invalido"
64,10093,,,cerrado,"fecha_invalida,monto_invalido"
65,19562,,,cerrado,"fecha_invalida,monto_invalido"
67,5049,2025-05-26,,Rechazado,monto_invalido
68,4916,,5792.24,nan,fecha_invalida
69,14892,,14508.66,nan,fecha_invalida
70,18587,,,cerrado,"fecha_invalida,monto_invalido"
71,19836,,5377.67,nan,fecha_invalida
72,23320,,,nan,"fecha_invalida,monto_invalido"
73,14099,,11459.27,Abierto,fecha_invalida
74,3314,,14502.38,cerrado,fecha_invalida
75,9867,,,ABIERTO,"fecha_invalida,monto_invalido"
76,18282,,,nan,"fecha_invalida,monto_invalido"
77,8700,,,ABIERTO,"fecha_invalida,monto_invalido"
78,4535,,,Cerrado,"fecha_invalida,monto_invalido"
79,7460,,11711.43,cerrado,fecha_invalida
80,23359,,,nan,"fecha_invalida,monto_invalido"
81,10359,,,Cerrado,"fecha_invalida,monto_invalido"
83,16988,,,nan,"fecha_invalida,monto_invalido"
84,2227,,,Abierto,"fecha_invalida,monto_invalido"
